Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4	gammaShape.s:h3n2_2deme
467000	-4818.7053478796215	-4749.436989292978	-69.26835858664353	-4749.436989292978	7.336477447210972	49.600392828351794	40.02070111316404	9.57969171518775	0	10	39	20	0	0.06938644325269286	50.028573251445486	7.515337620167354	8.938122239113172E-5	2.6230962581270224E-15	0.901919741952945	0.1354872011440933	1.746159253619507E-14	0.004007686771094393	2.0	0.25	0.25	0.25	0.25	0.09390378340785721
468000	-4779.5069469581385	-4708.395200660066	-71.11174629807257	-4708.395200660066	7.291622914353051	51.163272172804234	41.013809713673126	10.149462459131115	0	10	39	20	0	0.05284895723259899	50.53508361163085	7.456360247515791	5.10338543335739E-5	1.055692046690069E-15	0.6213742834379348	0.09168265242147298	7.154896501331276E-15	0.003814200565293108	2.0	0.25	0.25	0.25	0.25	0.09390378340785721
469000	-4754.433358932329	-4680.5039283671895	-73.92943056513931	-4680.5039283671895	7.294077394893251	49.98303569027531	38.44135750504981	11.541678185225525	0	11	40	19	0	0.0693664214035132	50.736011680810996	9.989876914005743	6.260038941092006E-5	1.2811601824579768E-15	0.9965695481301295	0.19622368397221995	6.506682568936053E-15	0.0030442208532577356	2.0	0.25	0.25	0.25	0.25	0.05809152359612695
470000	-4871.159548466993	-4785.3678678466285	-85.79168062036464	-4785.3678678466285	7.22367240921729	56.1768078929193	45.23370569539214	10.943102197527182	0	11	40	19	0	0.06982548488944491	51.44087729198793	10.12866434453679	4.71018059155491E-5	8.663738740642972E-16	0.9303935799916709	0.18319369295661947	4.400089748137851E-15	0.0032279688040211026	2.0	0.25	0.25	0.25	0.25	0.05809152359612695
471000	-4798.31613332157	-4713.484894353077	-84.8312389684931	-4713.484894353077	7.264874164593033	53.137107613620415	43.29341707369932	9.84369053992111	0	10	39	20	0	0.05980679996201855	41.222056118103566	9.77441461691643	2.096295875649653E-5	3.077815674289084E-15	0.3852817309726809	0.09135651487302587	1.2980203461713679E-14	0.002923636682032095	2.0	0.25	0.25	0.25	0.25	0.1594077551844869
472000	-4778.599851800685	-4692.450114261445	-86.14973753924028	-4692.450114261445	7.478661005131942	53.773435909236824	40.4888810441687	13.284554865068124	0	8	37	22	0	0.07033605862635568	41.7355845277126	9.604969795196537	3.364350499893657E-5	4.056542307505457E-14	0.5231414101012669	0.12039504177311171	1.7626517102615424E-13	0.00355245686677544	2.0	0.25	0.25	0.25	0.25	0.1594077551844869
473000	-4756.91287967862	-4674.378042788294	-82.53483689032568	-4674.378042788294	7.699541109198131	55.318042149666425	42.485941429038355	12.832100720628056	0	9	38	21	0	0.07449086269894307	43.64411717088011	9.62034271408001	5.473577486913491E-5	2.0224448417310308E-14	0.8497566943301831	0.18730933635414485	9.175122162224571E-14	0.0033437109346168056	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
474000	-4688.771346952117	-4613.553956742393	-75.21739020972407	-4613.553956742393	7.657967797604705	52.341869170188	41.14619178840583	11.195677381782179	0	9	38	21	0	0.08409379852111216	35.22113413460394	8.237850215322432	3.759028122130726E-5	2.4391007905469658E-14	1.2918603884208395	0.3021524615944569	1.0428436286919152E-13	0.0032665899572165294	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
475000	-4694.190076897543	-4614.982103936145	-79.20797296139756	-4614.982103936145	7.691553681129965	52.43304457604316	40.809436423557614	11.623608152485557	0	10	39	20	0	0.0887496607590179	32.40884721498134	8.278734668623883	3.056249320749523E-5	1.6905198351804414E-14	0.8701552642226064	0.22227833360500518	6.617895275699827E-14	0.0034030196521173317	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
476000	-4691.767733778841	-4617.86842818272	-73.89930559612085	-4617.86842818272	7.701486572318221	51.891328874866225	42.32845233994255	9.562876534923682	0	11	40	19	0	0.14108141921728945	20.01477227437409	3.6422383782617676	3.09846540014686E-5	1.7547308917356136E-14	0.788135272141989	0.14342289265677416	9.642570187198651E-14	0.0033624404479667834	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
477000	-4690.18982057392	-4611.576194404202	-78.61362616971714	-4611.576194404202	8.01020689310595	52.33471568959239	41.88100940572773	10.453706283864662	0	11	40	19	0	0.15039865767838553	18.939173534600027	3.6222831279378873	2.6255982195630365E-5	2.3730021905582045E-14	1.4929420978039167	0.2855382766298482	1.24072853218829E-13	0.003516503251226334	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
478000	-4689.819238659486	-4611.952826916253	-77.86641174323277	-4611.952826916253	8.576094190764412	53.36677314299956	43.58209853292993	9.784674610069622	0	12	41	18	0	0.14188096205763112	19.15775475959801	4.364872324581319	2.6306011144462857E-5	1.8295299215216356E-14	1.5792803154860637	0.3598207111596734	8.029945197817459E-14	0.003160733284630165	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
479000	-4693.13859743826	-4609.134853548174	-84.00374389008603	-4609.134853548174	8.32236960875194	54.06288068240789	43.74310913803336	10.319771544374515	0	12	41	18	0	0.121854504455734	18.854769206454108	4.295840578833387	9.751936059702715E-6	3.0830094487337908E-15	0.5948650536885296	0.1355331061644786	1.353156164677299E-14	0.00306295057495323	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
480000	-4692.749778889336	-4617.848335528119	-74.901443361217	-4617.848335528119	7.523148329665234	49.79159051937468	38.02553951434588	11.766051005028807	0	11	40	19	0	0.09140201916389552	26.45260298406457	7.3124406815366605	1.0898716811602799E-5	8.117844131405043E-15	0.6597185752601629	0.18236968781499346	2.936613331261243E-14	0.0031584624059175326	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
481000	-4683.778429354394	-4614.3195152237195	-69.45891413067464	-4614.3195152237195	7.727786426192868	50.342379523822984	39.64192007453058	10.700459449292406	0	10	39	20	0	0.09867885384072592	26.82045336129744	4.575576155597278	1.3422867653928774E-5	5.000729935483548E-15	0.8593394976156267	0.1466035365579218	2.931255856008645E-14	0.0032919832772489166	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
482000	-4685.461110424367	-4616.871181659314	-68.58992876505293	-4616.871181659314	7.789256264846115	50.54272819532238	41.0479881838104	9.494740011511965	0	10	39	20	0	0.08191001560166236	24.233385266978953	4.553843396525876	7.079509936258683E-6	5.699749127885331E-15	0.6648416596200073	0.12493445583607095	3.0331349700463435E-14	0.0032958730075898575	2.0	0.25	0.25	0.25	0.25	0.20628744799584045
483000	-4690.737948414904	-4619.787103771287	-70.95084464361736	-4619.787103771287	7.773414559191541	49.72330482786049	39.797226927471264	9.926077900389203	0	10	39	20	0	0.08866294719784143	33.74316179942777	5.565866428351565	5.465244718422108E-6	5.471522666692846E-15	0.9406957559363941	0.15516586615033698	3.317120110734202E-14	0.003621910792558451	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
484000	-4690.787340802762	-4624.734789044086	-66.0525517586759	-4624.734789044086	7.632488468845083	48.58580319643698	39.27191306267452	9.313890133762456	0	11	40	19	0	0.08261750148683288	34.10600980483149	5.625717474435374	5.502849895050784E-6	1.1338151095314326E-14	1.2162315385033764	0.20061493731666602	6.873773775215441E-14	0.003483813739858311	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
485000	-4701.488355910278	-4626.121661330003	-75.36669458027532	-4626.121661330003	7.702007684578891	50.86364698646927	39.642473273047145	11.221173713422132	0	10	39	20	0	0.07900470771399414	33.669467045330926	5.583490219653848	2.443875018325693E-6	5.100681857901128E-15	0.5471447761897518	0.09073435889190347	3.075804433556728E-14	0.0029596349248138067	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
486000	-4689.756405432995	-4621.553704872823	-68.20270056017196	-4621.553704872823	7.726110695166319	49.826126809375026	39.203867109968535	10.622259699406497	0	10	39	20	0	0.07662614213184823	29.037743737019273	5.609457605724695	3.62402909262418E-6	7.600316361428094E-15	0.8152779393804511	0.15749388379672624	3.9343561238112195E-14	0.0031525706486530765	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
487000	-4686.077629521634	-4617.123542356064	-68.95408716556997	-4617.123542356064	7.831325027880357	48.89634016843462	38.262961971226986	10.633378197207643	0	10	39	20	0	0.08414815379028343	26.183588177971078	5.569393916701369	6.597267478811001E-6	1.2452672816640316E-14	0.9243690115204347	0.1966183975456984	5.854419019781615E-14	0.0037620549995340097	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
488000	-4691.711609220635	-4617.769974688695	-73.94163453194079	-4617.769974688695	7.771048055965553	51.10313588968816	38.73166381588711	12.371472073801039	0	9	38	21	0	0.06611111129221348	26.55691544934303	5.648802690624375	4.152103780358481E-6	4.155735661399193E-15	0.5566767928691876	0.11840823048014809	1.953750673089969E-14	0.003429755789661411	2.0	0.25	0.25	0.25	0.25	0.3676687364705261
