#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution contemp="true" id="BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="bdsky.evolution.speciation.BirthDeathSkylineModel">
#            <parameter id="origin_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="origin" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">1000.0</parameter>
#            <parameter id="rho_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="rho" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.01</parameter>
#            <parameter dimension="10" id="reproductiveNumber_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="reproductiveNumber" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">2.0</parameter>
#            <parameter id="becomeUninfectiousRate_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="becomeUninfectiousRate" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">1.0</parameter>
#            <parameter estimate="false" id="samplingProportion_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="samplingProportion" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#            <tree id="Tree.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="becomeUninfectiousRatePrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@becomeUninfectiousRate_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="M" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="S" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="originPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@origin_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="reproductiveNumberPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@reproductiveNumber_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.7" name="M" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.8" name="S" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="rhoPrior_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous" name="distribution" x="@rho_BDSKY_Contemp.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <LogNormal id="LogNormalDistributionModel.2" meanInRealSpace="true" name="distr">
#                <parameter estimate="false" id="RealParameter.11" name="M" spec="beast.base.inference.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.12" lower="0.0" name="S" spec="beast.base.inference.parameter.RealParameter" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@InfluenzaAH3N2_HAgene_2009_California_homochronous" id="treeLikelihood.InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:InfluenzaAH3N2_HAgene_2009_California_homochronous">
#            <siteModel id="SiteModel.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:InfluenzaAH3N2_HAgene_2009_California_homochronous" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:InfluenzaAH3N2_HAgene_2009_California_homochronous" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	BDSKY_Contemp	origin_BDSKY_Contemp	rho_BDSKY_Contemp	becomeUninfectiousRate_BDSKY_Contemp	reproductiveNumber_BDSKY_Contemp.1	reproductiveNumber_BDSKY_Contemp.2	reproductiveNumber_BDSKY_Contemp.3	reproductiveNumber_BDSKY_Contemp.4	reproductiveNumber_BDSKY_Contemp.5	reproductiveNumber_BDSKY_Contemp.6	reproductiveNumber_BDSKY_Contemp.7	reproductiveNumber_BDSKY_Contemp.8	reproductiveNumber_BDSKY_Contemp.9	reproductiveNumber_BDSKY_Contemp.10
17000	-2975.8116055099968	-3088.2151749413724	112.40356943137556	-3088.2151749413724	0.00432402432055475	0.047108870487319744	153.36090937980427	0.046253067235373195	0.05597962444729063	27.324016663251705	2.185555281766625	0.474612962222739	0.3438416171208234	0.27339191476610797	0.7176705944441146	1.4689849254824254	2.5097019539272036	1.2319084101052797	2.7532549927254126	72.68623671961242
18000	-2972.297276083896	-3080.6176604310135	108.32038434711721	-3080.6176604310135	0.003933910700174708	0.04223305816745668	150.15878030180852	0.0271096475462071	0.06617088183150742	18.037673524318713	0.7262238047453161	0.6873769884549692	0.21094157326601495	0.8813893905123549	1.9754628819818112	1.0997192336828965	1.509111835520572	1.9022170620885057	2.2334842893801876	112.28089255517189
19000	-2968.567878083518	-3082.361597614904	113.7937195313862	-3082.361597614904	0.003104040529683522	0.0449912725444662	154.8572209533558	0.03224886580754327	0.03626401551547737	16.492961632582492	1.109954311363827	1.035480103086694	1.1209122700065124	0.4056550868841837	10.790723031860365	0.43646719629866276	1.5114668526469965	0.4419575023632374	0.6589145801908891	117.05305359428844
20000	-2973.124867316477	-3087.56179437999	114.43692706351285	-3087.56179437999	0.0031051655942026263	0.04381646807867369	156.05021840503503	0.03224886580754327	0.026307945710774116	22.282076002848093	0.898724356422613	0.2438747912019968	0.34090392816016996	1.8178192844663452	3.9759837378013714	1.080504947852125	0.6314626096343953	0.04456858595096382	2.5104539524408866	113.66485250752564
21000	-2974.1008832379607	-3083.525539984884	109.42465674692325	-3083.525539984884	0.003024401181318771	0.04359642355405655	152.63618382459128	0.03224886580754327	0.05343626717563941	9.90612447691049	0.14043091141993208	0.45993796012702975	0.6812604719724838	1.566152211101043	3.435945309750683	5.441553235027643	0.34570033377166687	0.5279564508284378	1.1842784220424667	178.22151213002562
22000	-2973.63441934699	-3082.679732405666	109.04531305867627	-3082.679732405666	0.0030841170772651677	0.044134539437516114	154.89850352838607	0.03224886580754327	0.09741834678303447	9.61886731598719	1.6202172504753365	2.0920629985842947	1.0788203996009451	0.3785253532563951	2.1644190772986875	5.855823280169997	0.44529613376696886	1.2650147621266326	0.7049279941840982	156.7762936162461
23000	-2965.6551962283197	-3086.1495245054925	120.49432827717267	-3086.1495245054925	0.0031146211172212316	0.04339726159973156	154.75831692485576	0.038369873310905425	0.058125722490145144	40.690193054893335	0.47900680274948915	0.8757261246185181	0.9914600422172658	0.5852959413385412	0.46111920609275936	0.7397921481379304	0.7453504399086373	0.39512693447331876	0.6582563978107797	40.71955209104894
24000	-2966.1321709520594	-3076.047983009063	109.91581205700363	-3076.047983009063	0.003692628261747417	0.0465237240450232	149.7145468858069	0.04190003586811565	0.05667934160552257	12.033834281128605	0.5650578440060225	0.41635710296878364	0.2893977893472638	0.7534700340699083	1.833489160016633	1.3077192278737435	3.5427775798025696	1.824163159231336	0.4106281214217258	126.92481609571315
25000	-2974.7831894025194	-3084.084636437539	109.3014470350194	-3084.084636437539	0.003735639747534873	0.04966714941586564	153.89934393980988	0.03990712023132196	0.11542134960708583	10.001737108283839	1.306109082361748	0.2809558266815405	0.6352276143366011	0.19323839287534386	1.342737257891912	3.315235657979323	0.8560763311590304	0.44167658611035177	5.434124015575041	132.32485977085307
26000	-2968.2294211179355	-3084.97342937072	116.74400825278482	-3084.97342937072	0.0030434082521158534	0.04316611756479	158.44209152770537	0.037585462714661795	0.06706178502109825	15.581292966632795	0.35097690816879423	1.074777125231941	1.0080505295513258	2.2111708936923455	1.5550990438973389	0.7751488647525406	1.2600071988670758	0.6791907413903245	1.8664506660861806	134.21555603125813
27000	-2960.7673501631234	-3083.3097930459526	122.5424428828291	-3083.3097930459526	0.0029188275086766357	0.046186195335067085	159.4871148749205	0.030708681167896833	0.02778496124424497	19.15888541093585	0.36004965134220895	1.0807028154527702	1.0240069977131103	1.0612066764942178	2.1818953637732745	1.2775153669260713	0.8172370311927902	1.3151160631683154	0.1918637679845766	109.15310856282227
28000	-2973.783243360752	-3087.8524343352483	114.06919097449635	-3087.8524343352483	0.0028439946502662617	0.04240670282212406	156.52056709566162	0.030708681167896833	0.06209229268522032	27.834154868770767	0.3559152123744456	2.3508138064707795	1.6215625405022491	3.285394533283314	1.0439261189941105	0.31300654622515034	1.9800712533281486	1.0366685251378114	0.6378867648848492	80.67420398312619
29000	-2968.2253630755226	-3083.653536859745	115.4281737842227	-3083.653536859745	0.002828478460161033	0.03709151675032939	161.66212633211506	0.030708681167896833	0.10225544752712322	20.910639891839832	2.3229021866574704	1.951506565394882	3.346583461279228	1.2254859164200016	0.4573611408138171	1.1128214019031144	1.6656218018075433	2.789629407262988	0.28465146581225226	90.05457538355331
30000	-2965.042504796915	-3087.324680492839	122.28217569592398	-3087.324680492839	0.0024442028517277746	0.032645779537563945	163.92306514202488	0.030708681167896833	0.07417528927592411	25.77902605897135	0.5653371618872391	0.7426219835168791	3.6697065193680665	1.0636463892393793	0.2518857147018273	0.8465350640135558	0.6695984503727218	2.596650049111919	0.16265099917113918	84.67836429800495
31000	-2964.4149685723523	-3085.192945176056	120.77797660370388	-3085.192945176056	0.0026028027551103913	0.03493027135133602	162.83287974734128	0.026468689934863242	0.09494448914274878	19.15974880029827	0.9224550789216852	1.4429208257474322	1.5049005581184558	0.5068086497259969	2.695987277860198	0.6083600521106269	0.1885394131285184	0.6075898169572164	1.276297156901339	107.31473144286664
32000	-2960.324065597374	-3088.382784173052	128.05871857567814	-3088.382784173052	0.0026103402066022146	0.040003326026837024	161.7192295180679	0.026468689934863242	0.013138385237298074	27.686471629857557	0.7882322590122908	0.7707962526635731	1.1904124220387187	1.6304258759171506	0.7325432504019669	0.3052763804068742	0.42535766163565397	0.8708613744973922	1.0205994861174186	101.31960173017247
