Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	R0.t:h3n2_2deme.1	R0.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.1	samplingProportion.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.3	samplingProportion.t:h3n2_2deme.4	becomeUninfectiousRate.t:h3n2_2deme.1	becomeUninfectiousRate.t:h3n2_2deme.2	rateMatrix.t:h3n2_2deme.1	rateMatrix.t:h3n2_2deme.2	geo-frequencies.t:h3n2_2deme.1	geo-frequencies.t:h3n2_2deme.2	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme
10000	-5057.411865897227	-4881.311462297508	-176.10040359971867	-4881.311462297508	8.223946023822437	67.251291828955	15	19	33	26	0	1.0138722390072947	0.9957520443826446	0.0	7.23521661501658E-4	0.0	9.338195384084772E-4	39.05107285561897	39.05107285561897	0.41163281387659434	0.458561094593958	0.7234873681434237	0.2765126318565764	0.0020173886622004865	8.78745221042568
11000	-5027.485538502047	-4857.963999869547	-169.5215386325007	-4857.963999869547	8.772986931088685	65.19059082934282	17	17	30	29	1	1.0074028305379774	1.0031022950592356	0.0	7.768116442701314E-4	0.0	0.0010917061435046546	34.62367510500948	34.62367510500948	0.44767366069056924	0.6950067220142657	0.7234873681434237	0.2765126318565764	0.001976298031052327	8.78745221042568
12000	-4979.831510950039	-4829.008654296577	-150.8228566534619	-4829.008654296577	8.581528363076814	58.10527198384131	15	16	31	28	1	1.0050999059753578	1.0034826372918075	0.0	9.050101187491735E-4	0.0	0.0011933574573133332	36.76468720940814	36.76468720940814	0.42293158911360307	0.8637295212673108	0.7234873681434237	0.2765126318565764	0.0021839884681513705	8.78745221042568
13000	-4973.711182819191	-4824.13527617075	-149.57590664844068	-4824.13527617075	7.99909262773796	56.666846401506845	10	15	34	25	0	1.0117901605004591	1.0283390453797618	0.0	8.72250001903618E-4	0.0	0.001262600675773061	37.19019619674121	37.19019619674121	0.44845181742430007	0.8400840037479461	0.658088980180605	0.34191101981939503	0.0020764136039511665	8.78745221042568
14000	-4935.917915468516	-4792.97682468709	-142.94109078142617	-4792.97682468709	8.42213720207772	55.432195721954585	7	15	37	22	0	1.0029619897050228	0.9915747016414644	0.0	7.566558480033187E-4	0.0	0.0011465539465763748	43.62432119755738	43.62432119755738	0.5857286365124239	0.8673839052723378	0.658088980180605	0.34191101981939503	0.0024110833075802795	8.78745221042568
15000	-4933.323120499075	-4788.079403839804	-145.24371665927092	-4788.079403839804	8.153390986685613	56.42619783769388	13	21	37	22	0	1.0060372584603166	0.9946150548450734	0.0	9.619292356987489E-4	0.0	0.0017123123660510897	34.99846816324506	34.99846816324506	0.4872135214586176	1.1176871074314312	0.658088980180605	0.34191101981939503	0.0023081491579016768	7.805028991936766
16000	-4931.111420485714	-4779.180272557079	-151.93114792863568	-4779.180272557079	8.341317395323989	60.269178693627715	11	20	38	21	0	0.9992731088854354	1.0064965177786493	0.0	8.457803417344403E-4	0.0	0.0017769922824029353	31.100548883940508	31.100548883940508	0.4292093832083061	0.7735655100010889	0.6684409066605334	0.33155909333946676	0.002129499945670213	7.805028991936766
17000	-4928.224567879654	-4774.427552674723	-153.79701520493134	-4774.427552674723	8.164737617356664	58.45459316059549	13	21	37	22	0	1.0011165957865078	1.0074303773825353	0.0	6.681831257933669E-4	0.0	0.0011180957974702595	51.79629776271557	51.79629776271557	0.4271410938814906	0.781359824328887	0.6684409066605334	0.33155909333946676	0.0022735083215203273	9.411449974756922
18000	-4912.304862288361	-4774.1728257946015	-138.1320364937596	-4774.1728257946015	8.363223672275321	57.22476956824994	5	15	39	20	0	1.0108846604932642	1.017260046728985	0.0	9.365774088512284E-4	0.0	0.00169658464171605	34.57173893508441	34.57173893508441	0.4264694779927702	0.8652675386295452	0.623567708148644	0.37643229185135607	0.002360480470262399	4.976775790408507
19000	-4894.255940289428	-4761.991186480036	-132.26475380939144	-4761.991186480036	7.983290216680955	54.36443397244308	8	15	37	22	1	1.0019007607725376	0.9967880198328839	0.0	8.648569710175486E-4	0.0	0.001747241795780173	35.73152956666296	35.73152956666296	0.4180667840644369	0.8198882813334986	0.623567708148644	0.37643229185135607	0.0023072448719006406	4.976775790408507
20000	-4880.947248772492	-4748.734341779471	-132.21290699302085	-4748.734341779471	7.766716582387604	52.43399427682596	14	20	36	23	1	1.0039561291266945	1.0060462850586078	0.0	9.402570016641888E-4	0.0	0.0024179136294472815	35.11116099638335	35.11116099638335	0.4978462975861618	1.0124315452573573	0.6587219905892853	0.34127800941071484	0.002471839530999294	4.976775790408507
21000	-4877.975149138258	-4747.834391971995	-130.1407571662632	-4747.834391971995	7.912369556959606	53.32342114209305	9	19	39	20	0	1.000700053863572	0.9986970129938563	0.0	4.77511165804506E-4	0.0	0.0013033547268389845	50.58285095751862	50.58285095751862	0.5015794436771226	0.9860255829936526	0.6838006400280708	0.31619935997192933	0.0021297002486095097	4.976775790408507
22000	-4883.803393484222	-4741.495288689239	-142.30810479498354	-4741.495288689239	8.038465584284435	54.53824704465861	16	23	36	23	0	0.9978781116287669	0.9853179682705753	0.0	4.89758359203616E-4	0.0	0.0018115668774945472	41.29449062242098	41.29449062242098	0.7562976251610619	1.0137574079402285	0.6838006400280708	0.31619935997192933	0.0021606711157892713	6.892733563524736
23000	-4876.760457884666	-4746.708082542805	-130.05237534186068	-4746.708082542805	7.535211450672971	51.640243296620646	10	16	36	23	1	1.0276642047515958	0.9601555053464409	0.0	5.898143570621033E-4	0.0	0.0025724854092302185	35.596722373176874	35.596722373176874	0.673098007356255	1.062689101933722	0.7149317962450437	0.2850682037549565	0.0023370871293520936	6.892733563524736
