#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:NorthAm" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:NorthAm" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:NorthAm" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.NorthAm" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:NorthAm" name="distribution" x="@birthRate.t:NorthAm">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:NorthAm" name="distribution">
#            <parameter id="ucldStdev.c:NorthAm" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@NorthAm" id="treeLikelihood.NorthAm" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:NorthAm">
#            <siteModel id="SiteModel.s:NorthAm" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:NorthAm" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:NorthAm" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:NorthAm" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:NorthAm" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:NorthAm" spec="beast.base.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:NorthAm">
#                <LogNormal S="@ucldStdev.c:NorthAm" id="LogNormalDistributionModel.c:NorthAm" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="198" id="rateCategories.c:NorthAm" spec="beast.base.inference.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:NorthAm" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
30000	-28216.13651212767	-28441.889658900283	225.75314677261517	-28441.889658900283	0.15726199605240626	3.399879501291923	234.49054734564902	26.997917593099277	3.143491955567381	0.02569292767519899	0.06370578465022139	2.4610545120445586
31000	-28164.530573463177	-28391.53029112832	226.99971766514633	-28391.53029112832	0.17633926828249874	3.3557715002881254	235.7063764033731	27.07973098887292	3.1323745853727156	0.025030982266574475	0.06539063577861957	2.4616998059911492
32000	-28158.567032005067	-28377.51571129628	218.94867929121529	-28377.51571129628	0.1618683344390467	3.6158590246098767	227.66912598317234	31.457700889376284	3.137360554498549	0.02274622815591152	0.06175436981060333	2.4597303025778388
33000	-28145.94447024409	-28369.33784546152	223.3933752174296	-28369.33784546152	0.16404398192279068	3.4665716665431257	232.11382190938664	25.2301805183117	3.137360554498549	0.02417464242552204	0.06218609232707254	2.460861696311021
34000	-28125.333634680977	-28352.532146958405	227.19851227742777	-28352.532146958405	0.17827070967497674	3.3601201376282384	235.91895896938482	29.002911912580423	3.137360554498549	0.024640553419374954	0.06330166499246334	2.4484401455333455
35000	-28099.191271744985	-28340.13740385579	240.94613211080605	-28340.13740385579	0.11986801024537067	2.9256407541751646	249.46283431354206	35.89794442440849	3.0637264028926046	0.03072598635018953	0.07980051163520033	2.4114638202479077
36000	-28082.732874871923	-28326.4768613701	243.74398649818005	-28326.4768613701	0.13127072772354098	2.8477016289067167	252.26068870091606	35.89794442440849	3.0637264028926046	0.029268382667016826	0.0788113727392882	2.4715884454080403
37000	-28085.849275170807	-28336.69695563455	250.84768046374327	-28336.69695563455	0.10082641360538665	2.6444665029639673	259.3643826664793	40.31281428581383	3.0637264028926046	0.03168855917144649	0.08340899907583163	2.5087707181736083
38000	-28084.713644098265	-28320.41015186584	235.6965077675733	-28320.41015186584	0.1518809392898367	3.0690382097390434	244.21320997030932	28.601115360745695	3.0637264028926046	0.02770818137083471	0.09052121084829885	2.6236840956443377
39000	-28072.92125838884	-28317.856055537242	244.93479714840169	-28317.856055537242	0.1263341099355513	2.8144489788592146	253.46316526130636	34.63493690774927	3.067939964503382	0.030586414812945224	0.09068107307303092	2.6271545605979325
40000	-28059.952860297355	-28305.62170185547	245.6688415581158	-28305.62170185547	0.10783471424083224	2.767435090302247	254.19720967102046	31.05424761525323	3.067939964503382	0.03024319973722012	0.09563447218240335	2.6289720382802932
41000	-28045.4651993282	-28282.278348277385	236.81314894918538	-28282.278348277385	0.11537666222908366	3.029569474745215	245.48184812005712	28.940872384118173	3.118649913924319	0.02642760646435727	0.08256129862354222	2.669978551674255
42000	-27927.22180127534	-28166.69061596604	239.46881469069893	-28166.69061596604	0.11650014394308236	2.9667543641863268	248.13751386157068	31.75387068950011	3.118649913924319	0.026654504568732366	0.08522695869543231	2.659908189133807
43000	-27917.438915839677	-28158.94489648061	241.50598064093188	-28158.94489648061	0.09558528433950858	2.898921241919178	250.19282549703595	37.122814210045924	3.12521027231449	0.028678958892432934	0.07878063907997077	2.620373618756553
44000	-27905.83776718354	-28141.09983410915	235.26206692560888	-28141.09983410915	0.10587694905123043	3.0751510446916446	243.95956493203246	36.30691832046818	3.1290621350665675	0.027648197301459676	0.09366211496747723	2.7926053937890534
45000	-27825.950185593647	-28072.20029018016	246.25010458651337	-28072.20029018016	0.1013280451426528	2.7718730500482667	254.94760259293696	34.75538159472199	3.1290621350665675	0.029016914222833003	0.09172571406797356	2.7750400483444317
46000	-27830.426774894004	-28072.20577725758	241.77900236357425	-28072.20577725758	0.09524407022349884	2.886543993273041	250.47650036999784	37.839935613512644	3.1290621350665675	0.02931505088531299	0.0896287440654099	2.760181631323695
47000	-27847.10766711205	-28083.407628618213	236.29996150616338	-28083.407628618213	0.11301733752640618	3.0593090679068533	244.99745951258697	30.256742688838294	3.1290621350665675	0.028771521281080865	0.09174042199922862	2.7266457303736
48000	-27809.539917646158	-28069.13029595419	259.5903783080305	-28069.13029595419	0.09324410601188243	2.4192856299850685	268.2316873204213	43.71939044384906	3.108748721022551	0.0323713136666028	0.09632412213108088	2.7495006746283095
49000	-27838.64178264454	-28082.69154057407	244.04975792952965	-28082.69154057407	0.11201843266533096	2.6889121386566943	252.6910669419205	26.045924605177632	3.108748721022551	0.03209646852280521	0.09778015855713257	2.747775956002698
50000	-27804.00887715925	-28063.48248223276	259.4736050735116	-28063.48248223276	0.10372147391376232	2.425379981060273	268.1149140859024	42.57488656565	3.108748721022551	0.03301256423233319	0.08513009835226687	2.6100230782871487
51000	-27815.224328058168	-28068.69332025107	253.4689921929006	-28068.69332025107	0.12967787508381956	2.579521297919571	262.1016374622726	38.64972881344049	3.1056172393343107	0.030788729635803445	0.08478638794294469	2.62848424125527
52000	-27783.38333205519	-28044.870178799687	261.48684674449805	-28044.870178799687	0.1087874195590343	2.3703244757227737	270.11949201387006	38.315793108869215	3.1056172393343107	0.03309615598053901	0.08868774015300057	2.7050783018434084
53000	-27730.435109934297	-27993.410687545445	262.975577611147	-27993.410687545445	0.11973738627108951	2.3452142267490887	271.52472405572047	42.71189401056211	3.075445580219343	0.03548378059955259	0.0967536172818272	2.6344846481822586
54000	-27713.206929995275	-27983.00603172831	269.79910173303546	-27983.00603172831	0.1287380867893144	2.1775221173593313	278.2300772660288	40.46576893255626	3.0327728422319478	0.03684804158330035	0.10696561867657423	2.6946894702392306
55000	-27695.112902785924	-27968.34615611252	273.2332533265946	-27968.34615611252	0.07972582568625698	2.116496923446192	281.6642288595879	45.708199212280824	3.0327728422319478	0.03903509972668468	0.11295957492288489	2.72076527330784
56000	-27649.265111745255	-27915.508020182286	266.24290843702937	-27915.508020182286	0.15554376116613344	2.2613270174448323	274.6755524133066	48.146804736138364	3.03337510751063	0.03464722713793469	0.09451427470059687	2.598846387532564
57000	-27636.673618645604	-27908.57576358065	271.90214493504675	-27908.57576358065	0.13471990893019362	2.1395923593012305	280.28051887859	50.184641183676256	3.0137883891720545	0.03842489394227945	0.09872778148682215	2.593915329243153
58000	-27581.141656980228	-27877.45208513622	296.31042815599517	-27877.45208513622	0.08046857346584371	1.6695819153742173	304.5621345862937	52.95518897769424	2.968099974287744	0.04714256314495999	0.10975370189012526	2.5230781202486545
59000	-27506.946270099823	-27799.475177099466	292.52890699964496	-27799.475177099466	0.06374359839182189	1.7265461479468414	300.68043740995495	66.61391384820291	2.9319947015745864	0.04817047734003949	0.13649313143352068	2.5589779794227594
